Group,Month,Jar,SCP_Value,CollectedDate,TwoWeekDate
Nov_1_U,November,1_Open,-21.5,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22.8,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-24.2,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22.3,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-21.8,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22.5,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-24.2,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-23.2,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-21.3,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-22,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-24.2,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-22.9,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-22.5,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-23.1,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-22.4,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-22.5,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-23.7,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-24.1,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-23.6,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-21.5,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-22.8,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-25.4,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-24.3,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-22.3,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-21.8,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-22.5,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-24.2,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-23.2,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-21.3,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-19.4,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-20.4,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-24.9,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-24.7,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-22.3,11/30/2021,11/16/2021
Dec_1_U,December,1_Open,-23.6,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-24.5,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-23,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-25,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-23.5,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-21.6,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-25.9,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-24.5,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-24.5,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-24.7,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-23,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-23.8,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-25.4,12/31/2021,12/17/2021
Dec_1_U,December,1_Open,-23.8,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-25.2,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-20.5,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-22.5,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-20.3,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-21.1,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-23,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-21.3,12/31/2021,12/17/2021
Dec_1_D,December,1_Dense,-22.2,12/31/2021,12/17/2021
Dec_2_U,December,2_Open,-23.2,12/31/2021,12/17/2021
Dec_2_U,December,2_Open,-23.4,12/31/2021,12/17/2021
Dec_2_U,December,2_Open,-21.5,12/31/2021,12/17/2021
Dec_2_U,December,2_Open,-22.6,12/31/2021,12/17/2021
Dec_2_U,December,2_Open,-22.9,12/31/2021,12/17/2021
Dec_2_U,December,2_Open,-22.6,12/31/2021,12/17/2021
Dec_2_U,December,2_Open,-22.8,12/31/2021,12/17/2021
Dec_2_D,December,2_Dense,-22.6,12/31/2021,12/17/2021
Dec_2_D,December,2_Dense,-23.3,12/31/2021,12/17/2021
Dec_2_D,December,2_Dense,-22.7,12/31/2021,12/17/2021
Dec_2_D,December,2_Dense,-23,12/31/2021,12/17/2021
Dec_2_D,December,2_Dense,-22.2,12/31/2021,12/17/2021
Dec_3_U,December,3_Open,-23.2,12/31/2021,12/17/2021
Dec_3_U,December,3_Open,-23.2,12/31/2021,12/17/2021
Dec_3_U,December,3_Open,-23.7,12/31/2021,12/17/2021
Dec_3_U,December,3_Open,-24.6,12/31/2021,12/17/2021
Dec_3_U,December,3_Open,-23.3,12/31/2021,12/17/2021
Dec_3_D,December,3_Dense,-23.3,12/31/2021,12/17/2021
Dec_3_D,December,3_Dense,-25,12/31/2021,12/17/2021
Dec_3_D,December,3_Dense,-25.6,12/31/2021,12/17/2021
Dec_3_D,December,3_Dense,-23.1,12/31/2021,12/17/2021
Dec_3_D,December,3_Dense,-25.8,12/31/2021,12/17/2021
Dec_3_D,December,3_Dense,-23.1,12/31/2021,12/17/2021
Jan_1_U,January,1_Open,-25.3,1/29/2022,1/15/2022
Jan_1_U,January,1_Open,-26.5,1/29/2022,1/15/2022
Jan_1_U,January,1_Open,-26.7,1/29/2022,1/15/2022
Jan_1_U,January,1_Open,-26.4,1/29/2022,1/15/2022
Jan_1_U,January,1_Open,-27.5,1/29/2022,1/15/2022
Jan_1_U,January,1_Open,-26.1,1/29/2022,1/15/2022
Jan_1_U,January,1_Open,-27.4,1/29/2022,1/15/2022
Jan_1_U,January,1_Open,-27,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-23.9,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-24.2,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-24.5,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-24.1,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-24.2,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-24.6,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-24.2,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-25.2,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-22.7,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-21.7,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-23.1,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-23.1,1/29/2022,1/15/2022
Jan_1_D,January,1_Dense,-24.5,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-28.3,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-26.8,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-26.7,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-26.4,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-27,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-27.2,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-27.5,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-26.1,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-27.6,1/29/2022,1/15/2022
Jan_2_U,January,2_Open,-27.8,1/29/2022,1/15/2022
Jan_2_D,January,2_Dense,-25.3,1/29/2022,1/15/2022
Jan_2_D,January,2_Dense,-22.7,1/29/2022,1/15/2022
Jan_2_D,January,2_Dense,-20.8,1/29/2022,1/15/2022
Jan_2_D,January,2_Dense,-22.4,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-26.2,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-24.5,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-26.5,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-25.2,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-25.6,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-25.4,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-26.7,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-26.1,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-25.6,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-26.5,1/29/2022,1/15/2022
Jan_3_U,January,3_Open,-26.3,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-21.5,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-23.2,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-26.2,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-24.5,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-23.2,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-25.7,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-27,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-25.4,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-26,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-21.4,1/29/2022,1/15/2022
Jan_3_D,January,3_Dense,-22.6,1/29/2022,1/15/2022
Feb_1_U,February,1_Open,-25.5,2/28/2022,2/14/2022
Feb_1_U,February,1_Open,-24.7,2/28/2022,2/14/2022
Feb_1_U,February,1_Open,-25,2/28/2022,2/14/2022
Feb_1_U,February,1_Open,-25.1,2/28/2022,2/14/2022
Feb_1_U,February,1_Open,-25.2,2/28/2022,2/14/2022
Feb_1_D,February,1_Dense,-24.6,2/28/2022,2/14/2022
Feb_1_D,February,1_Dense,-25.9,2/28/2022,2/14/2022
Feb_1_D,February,1_Dense,-24.2,2/28/2022,2/14/2022
Feb_1_D,February,1_Dense,-23.3,2/28/2022,2/14/2022
Feb_1_D,February,1_Dense,-21,2/28/2022,2/14/2022
Feb_1_D,February,1_Dense,-22.3,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-24.8,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-26.3,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-27,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-24.6,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-28.6,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-27.4,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-27.6,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-26.3,2/28/2022,2/14/2022
Feb_2_U,February,2_Open,-27.4,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-22.1,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-21.4,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-24.2,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-23.2,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-21.8,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-23,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-24,2/28/2022,2/14/2022
Feb_2_D,February,2_Dense,-26.1,2/28/2022,2/14/2022
Feb_3_U,February,3_Open,-26.1,2/28/2022,2/14/2022
Feb_3_U,February,3_Open,-26.1,2/28/2022,2/14/2022
Feb_3_U,February,3_Open,-26.2,2/28/2022,2/14/2022
Feb_3_U,February,3_Open,-25.6,2/28/2022,2/14/2022
Feb_3_U,February,3_Open,-24.3,2/28/2022,2/14/2022
Feb_3_U,February,3_Open,-24.3,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-24.1,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-25,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-25.1,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-23.8,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-24.5,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-25.3,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-26.1,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-24.6,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-25.2,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-26.7,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-26.1,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-25.4,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-24.7,2/28/2022,2/14/2022
Feb_3_D,February,3_Dense,-26.5,2/28/2022,2/14/2022
Mar_1_U,March,1_Open,-25.4,3/30/2022,3/16/2022
Mar_1_U,March,1_Open,-26.6,3/30/2022,3/16/2022
Mar_1_U,March,1_Open,-26.5,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-23.7,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-21.1,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-23.8,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-24.7,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-25.7,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-23.5,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-24,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-23.7,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-21.1,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-23.9,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-24.4,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-25.2,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-25.1,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-25,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-24.3,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-23.5,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-24,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-21.3,3/30/2022,3/16/2022
Mar_1_D,March,1_Dense,-21.7,3/30/2022,3/16/2022
Mar_2_U,March,2_Open,-26.6,3/30/2022,3/16/2022
Mar_2_U,March,2_Open,-27.1,3/30/2022,3/16/2022
Mar_2_U,March,2_Open,-26.8,3/30/2022,3/16/2022
Mar_2_U,March,2_Open,-24.6,3/30/2022,3/16/2022
Mar_2_U,March,2_Open,-24.4,3/30/2022,3/16/2022
Mar_2_U,March,2_Open,-27,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-26,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-23.3,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-24.2,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-25.8,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-20.8,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-25.7,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-28,3/30/2022,3/16/2022
Mar_2_D,March,2_Dense,-21.5,3/30/2022,3/16/2022
Mar_3_U,March,3_Open,-27.7,3/30/2022,3/16/2022
Mar_3_U,March,3_Open,-26.1,3/30/2022,3/16/2022
Mar_3_U,March,3_Open,-26.4,3/30/2022,3/16/2022
Mar_3_U,March,3_Open,-26.6,3/30/2022,3/16/2022
Mar_3_U,March,3_Open,-27.3,3/30/2022,3/16/2022
Mar_3_U,March,3_Open,-27,3/30/2022,3/16/2022
Mar_3_U,March,3_Open,-28.1,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-26.1,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-24,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-26,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-21.6,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-26.9,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-26.4,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-26.2,3/30/2022,3/16/2022
Mar_3_D,March,3_Dense,-24.2,3/30/2022,3/16/2022
Apr_1_D,April,1_Dense,-24.6,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-24.6,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-24.8,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-23.8,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-20.7,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-24.1,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-21.9,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-22.8,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-22.5,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-22.7,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-21.6,4/30/2022,4/16/2022
Apr_1_U,April,1_Open,-24.1,4/30/2022,4/16/2022
Apr_2_U,April,2_Open,-21.1,4/30/2022,4/16/2022
Apr_2_U,April,2_Open,-19.2,4/30/2022,4/16/2022
Apr_2_U,April,2_Open,-21.2,4/30/2022,4/16/2022
Apr_2_D,April,2_Dense,-25.2,4/30/2022,4/16/2022
Apr_2_D,April,2_Dense,-25.8,4/30/2022,4/16/2022
Apr_2_D,April,2_Dense,-26.2,4/30/2022,4/16/2022
Apr_2_D,April,2_Dense,-23,4/30/2022,4/16/2022
Apr_2_D,April,2_Dense,-26.1,4/30/2022,4/16/2022
Apr_2_D,April,2_Dense,-24.9,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-26.2,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-25.8,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-29.1,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-29.3,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-25,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-26.4,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-26.2,4/30/2022,4/16/2022
Apr_3_U,April,3_Open,-25.9,4/30/2022,4/16/2022
Apr_3_D,April,3_Dense,-25.4,4/30/2022,4/16/2022
Apr_3_D,April,3_Dense,-23.9,4/30/2022,4/16/2022
Apr_3_D,April,3_Dense,-25.9,4/30/2022,4/16/2022
Apr_3_D,April,3_Dense,-25.6,4/30/2022,4/16/2022
Apr_3_D,April,3_Dense,-24.5,4/30/2022,4/16/2022
Apr_3_D,April,3_Dense,-24.3,4/30/2022,4/16/2022
Apr_3_D,April,3_Dense,-23.8,4/30/2022,4/16/2022
